id,x_px,y_px,timestamp_s,speed_mph,direction_deg
0,292.9,144.9,0.25,51.2,246.8
0,291.2,140.9,0.334,56.7,246.6
0,289.6,138.0,0.417,45.7,241.1
0,287.2,131.4,0.584,50.1,247.7
0,284.6,125.6,0.75,47.4,247.0
0,283.1,122.8,0.834,54.6,240.9
0,281.7,120.5,0.917,49.3,240.0
0,277.7,111.3,1.251,46.8,246.3
0,276.6,109.0,1.334,58.4,242.6
0,275.1,105.5,1.501,54.5,244.9
0,274.4,103.9,1.584,48.5,246.3
0,273.4,102.0,1.668,56.9,243.5
0,269.3,93.2,2.168,57.3,245.5
0,267.1,88.6,2.501,51.9,241.6
0,264.9,83.9,2.835,51.4,244.0
0,263.3,80.2,3.168,53.3,244.5
0,262.4,78.9,3.335,45.9,249.9
0,262.1,78.1,3.419,49.5,246.4
0,261.8,77.2,3.502,51.1,250.9
0,261.4,76.4,3.585,54.2,247.8
0,260.6,75.0,3.752,46.6,241.0
0,259.9,73.4,3.919,55.3,254.8
0,259.3,72.1,4.086,52.6,244.3
0,259.0,71.4,4.169,54.3,247.1
0,258.2,69.5,4.419,45.9,251.5
0,257.7,68.9,4.503,51.6,236.6
0,257.4,68.3,4.586,52.9,243.9
1,323.1,161.5,0.167,54.9,238.3
1,320.3,157.2,0.25,48.8,237.0
1,314.8,148.5,0.417,48.9,237.0
1,310.2,140.9,0.584,48.4,236.8
1,308.0,137.3,0.667,55.8,238.7
1,302.4,128.4,0.917,46.3,236.0
1,301.0,125.5,1.001,56.1,244.7
1,299.4,123.0,1.084,49.3,237.5
1,294.9,115.4,1.334,53.6,239.4
1,289.8,107.5,1.668,55.1,235.2
1,288.9,105.7,1.751,49.9,243.3
1,286.9,102.2,1.918,47.4,238.9
1,285.8,100.5,2.001,55.0,236.3
1,284.1,97.7,2.168,48.4,235.4
1,283.4,96.4,2.251,46.3,241.8
1,282.4,94.9,2.335,58.1,239.9
1,281.7,93.6,2.418,46.3,239.8
1,280.2,90.9,2.585,51.6,240.7
1,279.4,89.7,2.668,47.3,234.1
1,278.6,88.7,2.752,46.4,233.1
1,275.9,84.0,3.085,49.6,244.6
1,275.3,82.9,3.168,54.6,238.6
1,274.6,81.9,3.252,51.2,236.2
1,274.0,81.0,3.335,49.7,238.6
1,271.7,77.1,3.752,50.5,239.8
1,270.1,74.9,4.002,48.2,228.1
1,269.9,74.1,4.086,56.4,254.6
1,268.8,72.7,4.252,46.6,230.5
1,268.3,72.0,4.336,52.1,236.8
1,267.5,70.5,4.503,47.6,229.8
1,265.4,67.0,5.003,49.4,239.4
1,264.1,65.0,5.336,58.1,241.6
1,263.8,64.5,5.42,50.9,244.7
1,262.1,61.6,5.92,49.2,239.1
2,190.3,113.8,0.417,52.1,116.6
2,188.0,118.9,0.584,52.8,115.2
2,182.6,130.7,0.917,56.6,113.0
2,179.6,137.6,1.084,52.4,114.7
2,176.0,145.1,1.251,54.7,115.4
2,171.9,153.8,1.417,48.8,115.9
2,167.2,163.9,1.584,52.0,114.3
2,164.4,169.7,1.668,58.3,116.2
2,161.8,175.3,1.751,53.0,114.4
2,155.8,188.6,1.918,50.2,114.2
2,148.4,204.5,2.085,49.8,115.3
2,139.9,223.3,2.251,50.1,114.5
2,129.4,246.0,2.418,49.6,114.9
3,365.6,240.0,0.334,56.9,238.7
3,360.0,229.9,0.417,49.4,240.7
3,348.9,211.0,0.584,47.4,239.9
3,340.2,195.2,0.75,48.0,241.5
3,328.9,175.5,1.001,58.0,241.8
3,322.0,165.6,1.167,53.2,232.4
3,317.4,156.4,1.334,57.6,242.5
3,312.7,148.4,1.501,57.7,239.5
3,310.6,144.8,1.584,49.2,240.5
3,306.7,137.5,1.751,47.8,243.2
3,304.9,134.2,1.834,53.5,241.7
4,156.2,198.0,0.167,57.7,111.9
4,153.4,205.4,0.25,49.3,110.4
4,149.4,214.8,0.334,57.9,113.1
4,145.8,223.4,0.417,47.7,112.9
4,141.1,234.8,0.5,58.1,112.3
4,137.1,245.0,0.584,47.0,111.4
4,131.8,258.7,0.667,57.3,111.1
10,386.0,214.7,0.167,54.8,232.3
10,380.1,207.2,0.25,46.3,231.8
10,368.4,191.9,0.417,47.1,231.6
10,358.9,179.0,0.584,46.8,231.6
10,354.0,173.0,0.667,55.2,230.8
10,350.4,168.2,0.75,48.1,233.5
10,345.9,162.8,0.834,56.1,230.0
10,343.0,158.5,0.917,48.6,235.7
10,339.5,153.8,1.001,57.2,233.8
10,330.9,142.8,1.251,46.4,233.7
10,317.3,124.5,1.751,45.9,231.8
10,314.5,121.8,1.834,55.6,224.6
10,310.0,114.7,2.085,52.0,239.8
10,308.4,112.6,2.168,51.0,231.9
10,306.9,110.6,2.251,50.4,232.5
10,305.3,108.6,2.335,55.1,233.1
10,304.0,106.9,2.418,47.1,231.4
10,300.0,101.8,2.668,52.3,231.0
10,297.9,98.4,2.835,51.2,230.3
10,296.9,96.9,2.918,54.3,239.7
10,294.7,94.1,3.085,56.2,235.0
10,293.6,92.8,3.168,53.3,231.1
10,291.9,90.3,3.335,53.4,234.7
10,291.0,89.1,3.419,52.7,235.3
10,290.0,87.8,3.502,56.7,231.2
10,289.4,86.8,3.585,48.6,239.5
10,288.4,85.7,3.669,48.2,226.3
10,287.8,84.7,3.752,48.3,238.6
10,286.8,83.8,3.836,46.5,223.0
10,286.1,82.9,3.919,47.7,236.1
10,285.3,81.8,4.002,58.2,231.4
10,284.4,80.9,4.086,49.2,225.6
10,283.7,79.9,4.169,56.6,235.6
10,282.4,78.0,4.336,50.0,230.2
10,281.1,76.6,4.503,58.2,230.0
10,279.9,75.1,4.669,55.0,235.3
10,276.4,71.0,5.17,54.5,228.6
10,275.0,69.0,5.42,55.0,232.6
10,269.7,62.0,6.587,58.4,236.4
10,266.6,59.4,7.171,46.5,224.5
11,292.1,101.3,0.167,51.7,240.6
11,291.3,99.7,0.25,53.0,244.1
11,290.4,98.3,0.334,48.9,239.6
11,288.5,94.0,0.584,47.6,245.5
11,287.7,92.8,0.667,46.5,238.0
11,285.7,89.1,0.917,48.2,240.1
11,285.1,87.9,1.001,51.1,239.1
11,284.6,86.9,1.084,47.1,248.4
11,284.1,85.8,1.167,53.0,242.6
11,283.6,84.8,1.251,45.8,244.0
11,283.0,83.8,1.334,49.5,237.0
11,282.3,82.0,1.501,50.4,242.3
11,281.8,81.0,1.584,54.1,243.2
11,281.2,80.0,1.668,54.5,238.4
11,280.2,78.3,1.834,54.7,238.2
11,279.4,77.0,2.001,49.1,237.9
11,278.5,75.5,2.168,56.4,240.9
11,276.7,72.4,2.501,57.4,233.1
11,272.4,66.1,3.419,50.4,238.5
14,185.1,100.5,0.167,49.5,117.2
14,183.1,103.7,0.334,55.6,121.1
14,181.0,106.9,0.5,51.4,123.2
14,180.4,108.7,0.584,48.0,110.8
14,179.2,110.7,0.667,51.3,119.9
14,177.1,114.6,0.834,53.4,118.8
14,176.1,116.6,0.917,45.8,117.8
14,174.6,119.2,1.001,56.0,119.9
14,170.6,125.6,1.251,47.8,115.6
14,168.9,128.5,1.334,53.1,120.0
14,167.5,131.4,1.417,50.5,117.1
14,165.9,134.5,1.501,51.8,116.2
14,164.4,137.4,1.584,46.3,118.1
14,162.5,140.7,1.668,49.5,120.2
14,160.8,143.8,1.751,45.8,118.2
14,158.9,147.7,1.834,52.2,115.8
14,154.4,155.5,2.001,52.7,118.3
14,149.5,164.4,2.168,53.3,119.0
14,144.4,174.4,2.335,53.0,117.3
14,138.1,185.8,2.501,53.9,119.0
14,131.1,198.9,2.668,53.8,117.3
14,122.7,214.3,2.835,53.4,118.4
14,113.0,232.7,3.002,53.7,118.3
14,101.7,254.2,3.168,52.7,117.3
16,205.0,84.2,0.167,56.6,109.1
16,202.2,90.1,0.584,51.9,107.2
16,201.6,91.2,0.667,48.8,117.0
16,200.6,94.0,0.834,46.2,114.7
16,199.4,96.8,1.001,58.3,113.0
16,198.8,98.2,1.084,46.4,112.5
16,197.9,99.8,1.167,53.2,120.0
16,197.4,101.6,1.251,57.0,106.2
16,196.6,103.2,1.334,50.3,115.6
16,195.8,104.9,1.417,48.6,116.0
16,194.9,106.8,1.501,52.6,113.9
16,194.3,108.8,1.584,54.0,107.0
16,193.3,110.8,1.668,53.9,117.3
16,192.5,112.9,1.751,51.2,109.5
16,191.6,115.3,1.834,58.0,111.2
16,188.3,122.5,2.085,47.5,114.0
16,183.8,133.9,2.418,48.1,107.2
16,182.2,137.3,2.501,54.9,115.0
16,181.1,140.6,2.585,49.1,109.5
16,179.4,144.5,2.668,56.2,113.3
16,178.0,148.1,2.752,49.5,110.9
16,176.2,152.4,2.835,54.8,112.8
16,174.5,156.4,2.918,47.5,112.9
16,170.6,166.4,3.085,48.7,112.2
16,168.3,172.3,3.168,58.0,111.1
16,166.1,177.7,3.252,49.4,112.1
16,163.5,184.5,3.335,57.0,111.1
16,161.2,190.5,3.419,47.4,111.0
16,158.0,198.5,3.502,57.8,111.5
16,155.1,206.0,3.585,49.6,111.3
16,151.3,215.5,3.669,58.3,111.7
16,148.0,224.1,3.752,47.5,111.3
16,143.4,235.4,3.836,57.5,111.9
16,139.4,245.7,3.919,47.3,111.0
16,134.2,259.8,4.002,57.9,110.5
18,279.7,90.1,0.167,46.6,240.4
18,277.5,86.5,0.417,47.1,238.7
18,276.6,85.2,0.5,58.2,235.8
18,276.3,84.3,0.584,46.6,253.7
18,275.6,83.2,0.667,55.4,237.2
18,275.2,82.2,0.75,52.3,246.9
18,274.5,81.2,0.834,53.1,233.9
18,273.7,79.7,1.001,56.8,248.3
18,272.1,77.3,1.251,49.6,234.3
18,270.4,74.1,1.584,50.8,250.8
18,269.3,71.9,1.834,46.1,239.6
18,265.6,66.2,2.668,54.9,246.9
18,264.7,65.1,2.835,50.1,231.5
18,262.8,63.1,3.252,46.5,227.5
18,260.8,60.7,3.669,50.5,229.5
19,278.8,110.2,0.167,56.8,246.7
19,278.1,108.3,0.25,49.9,249.6
19,275.8,103.0,0.5,54.1,253.9
19,275.0,101.3,0.584,52.3,245.6
19,274.1,99.7,0.667,52.7,241.2
19,273.6,98.3,0.75,47.4,247.5
19,272.8,96.9,0.834,47.6,242.0
19,271.6,94.2,1.001,54.8,247.6
19,271.1,93.0,1.084,47.4,246.2
19,269.6,90.2,1.251,51.5,240.9
19,269.0,88.9,1.334,52.1,241.5
19,268.5,87.8,1.417,50.1,247.5
19,268.1,86.7,1.501,51.5,250.2
19,266.1,82.7,1.834,49.3,238.4
19,265.7,81.8,1.918,47.2,242.5
19,264.9,80.0,2.085,55.4,250.5
19,263.7,77.3,2.335,52.7,249.3
19,262.9,75.9,2.501,55.4,241.4
19,262.5,75.2,2.585,50.6,243.3
19,262.0,74.4,2.668,50.4,239.5
19,261.1,73.0,2.835,52.4,247.8
19,260.3,71.4,3.002,54.9,231.3
19,259.4,69.0,3.335,51.8,256.8
19,259.3,68.4,3.419,55.3,253.6
19,256.8,63.6,4.252,55.2,265.4
22,202.0,72.9,0.167,47.1,127.9
22,199.2,77.9,0.667,52.4,129.1
22,198.8,78.9,0.75,56.6,109.5
22,198.2,79.9,0.834,56.0,124.4
22,197.6,80.9,0.917,54.9,118.2
22,195.8,83.8,1.167,56.2,122.8
22,194.6,86.0,1.334,57.4,124.3
22,193.2,88.0,1.501,50.9,124.8
22,191.5,90.2,1.668,49.3,127.7
22,188.5,95.5,2.001,57.9,122.6
22,186.9,98.4,2.168,55.3,123.7
22,185.9,99.8,2.251,46.3,123.8
22,185.0,101.5,2.335,53.6,117.9
22,183.2,104.7,2.501,49.3,120.2
22,181.1,107.9,2.668,49.9,119.7
22,178.8,111.7,2.835,52.8,119.5
22,176.2,115.6,3.002,53.3,124.8
22,175.2,117.8,3.085,48.5,114.8
22,173.7,120.3,3.168,54.5,119.8
22,170.9,125.3,3.335,55.2,115.8
22,167.8,130.6,3.502,52.4,120.6
22,164.5,136.5,3.669,53.2,119.4
22,161.0,142.5,3.836,52.3,118.0
22,157.0,149.8,4.002,53.2,120.2
22,152.3,157.9,4.169,53.6,118.5
22,147.2,166.9,4.336,54.1,119.5
22,141.4,177.1,4.503,52.0,119.2
22,134.9,188.8,4.669,52.1,120.3
22,127.6,202.3,4.836,52.6,117.7
22,119.1,218.0,5.003,52.1,118.4
22,109.1,236.4,5.17,52.6,117.7
22,97.1,258.6,5.336,51.6,117.9
23,176.0,152.9,0.167,53.8,113.1
23,174.4,157.0,0.25,48.5,111.9
23,172.2,162.1,0.334,57.0,113.0
23,170.2,166.6,0.417,46.9,114.2
23,165.6,177.8,0.584,45.7,112.9
23,162.8,184.6,0.667,57.2,112.5
23,160.6,190.7,0.75,47.7,110.1
23,157.3,198.6,0.834,57.5,112.3
23,154.5,205.9,0.917,48.4,110.9
23,151.1,215.2,1.001,56.7,110.1
23,147.9,223.7,1.084,47.3,110.8
23,143.5,235.0,1.167,57.3,111.5
23,139.6,245.0,1.251,46.3,110.8
23,134.4,258.7,1.334,56.8,110.8
26,204.6,68.7,0.917,55.6,115.5
26,203.4,70.5,1.167,46.6,108.7
26,201.8,73.0,1.501,51.1,127.0
