id,x_px,y_px,timestamp_s,speed_mph,direction_deg
0,202.8,101.6,0.4,53.6,200.4
0,189.3,95.1,0.667,54.7,203.9
0,177.7,89.5,0.933,56.4,204.8
0,175.0,88.4,1.0,54.1,202.8
0,170.4,86.0,1.133,56.9,205.4
0,167.9,84.8,1.2,59.7,204.3
0,165.6,83.8,1.267,54.7,204.7
0,163.6,82.9,1.333,53.1,205.6
0,161.5,81.9,1.4,57.1,205.0
0,159.7,81.0,1.467,53.0,207.2
0,157.9,80.0,1.533,57.6,207.0
0,153.9,78.2,1.667,45.1,200.4
0,150.7,76.9,1.8,49.8,206.5
0,148.0,75.2,1.933,54.2,210.4
0,142.0,72.6,2.2,51.9,206.9
0,140.7,71.8,2.267,60.0,210.5
0,136.9,70.2,2.467,57.2,206.1
0,131.2,67.3,2.8,43.5,203.6
0,128.3,66.1,3.0,54.9,211.6
0,126.9,65.4,3.067,61.1,204.3
0,126.3,64.9,3.133,53.8,218.8
0,117.6,61.2,3.8,56.4,211.1
0,114.3,59.5,4.133,46.1,211.7
0,113.7,59.1,4.2,45.5,211.6
0,108.5,56.6,4.8,57.2,207.3
0,107.5,56.0,4.933,43.2,211.7
1,133.8,159.5,0.133,48.7,59.1
1,137.1,165.4,0.2,58.8,60.5
1,140.6,171.9,0.267,60.0,61.4
1,144.6,178.1,0.333,53.6,57.7
1,148.8,184.9,0.4,54.1,58.2
1,153.5,192.7,0.467,56.1,58.8
1,158.4,201.1,0.533,55.8,59.6
1,163.9,210.5,0.6,56.3,59.7
1,170.1,220.7,0.667,55.2,58.7
1,176.6,232.1,0.733,55.5,60.4
1,184.2,245.2,0.8,56.7,60.0
1,192.4,259.5,0.867,54.8,59.9
3,113.6,87.8,0.2,44.4,48.6
3,115.4,88.9,0.267,45.6,30.0
3,116.9,90.3,0.333,60.1,43.8
3,117.9,91.6,0.4,51.5,51.4
3,119.1,92.7,0.467,44.0,44.9
3,120.0,93.9,0.533,44.2,50.4
3,120.0,95.1,0.6,43.4,92.5
3,120.7,96.6,0.667,52.9,65.3
3,123.1,98.0,0.733,49.8,30.6
3,125.3,99.6,0.8,52.0,35.5
3,127.1,101.5,0.867,60.8,47.3
3,130.3,104.7,1.0,53.0,41.6
3,132.2,106.6,1.067,55.1,45.7
3,134.2,108.6,1.133,53.5,45.2
3,135.8,110.7,1.2,55.0,53.1
3,137.7,112.8,1.267,52.1,48.3
3,140.1,115.1,1.333,52.7,42.8
3,142.3,117.4,1.4,52.8,46.2
3,144.6,120.1,1.467,56.9,49.8
3,146.6,122.8,1.533,54.9,53.8
3,149.3,125.6,1.6,53.6,46.0
3,151.9,128.7,1.667,57.8,50.2
3,154.7,131.9,1.733,55.2,49.4
3,157.8,135.1,1.8,52.6,45.8
3,164.8,143.2,1.933,56.7,48.5
3,168.8,147.4,2.0,57.7,46.7
3,172.6,152.1,2.067,58.3,50.6
3,176.9,157.2,2.133,58.9,49.9
3,181.8,162.1,2.2,54.3,45.4
3,186.9,167.7,2.267,57.2,47.9
3,192.2,173.7,2.333,56.0,48.1
3,198.2,180.9,2.4,61.4,50.0
3,204.5,188.4,2.467,59.2,50.1
3,211.7,196.4,2.533,57.8,48.3
3,219.5,205.6,2.6,59.5,49.4
3,228.2,215.8,2.667,60.1,49.7
3,237.6,226.9,2.733,58.2,49.5
3,247.9,239.7,2.8,59.9,51.4
3,259.5,253.9,2.867,58.7,50.7
3,273.2,266.3,2.933,49.2,42.1
8,452.6,183.4,0.2,43.1,213.7
8,245.3,100.4,1.733,60.0,199.8
8,237.0,97.6,1.867,49.6,195.9
8,229.6,94.7,2.0,51.8,198.2
8,222.9,91.9,2.133,57.2,201.5
8,219.4,90.8,2.2,54.9,198.0
8,215.9,89.7,2.267,52.7,196.8
8,212.8,88.5,2.333,60.7,200.9
8,207.4,86.7,2.467,56.4,201.0
8,204.6,85.8,2.533,50.4,198.3
8,202.0,84.9,2.6,53.6,200.1
8,199.3,83.8,2.667,61.0,201.2
8,197.2,83.0,2.733,49.0,200.8
8,194.6,82.0,2.8,61.6,201.5
8,185.7,78.5,3.067,51.2,199.1
8,183.6,77.8,3.133,48.8,198.9
8,181.6,77.0,3.2,56.4,200.9
8,179.8,76.3,3.267,52.4,202.0
8,176.3,75.2,3.4,47.3,199.7
8,172.6,73.9,3.533,61.0,202.5
8,170.8,73.3,3.6,44.5,197.4
8,169.1,72.7,3.667,51.0,200.1
8,164.5,70.5,3.867,49.3,200.8
8,157.4,68.2,4.2,58.0,200.6
8,152.6,66.3,4.467,60.4,209.0
8,150.4,65.5,4.6,55.9,205.7
8,147.3,64.0,4.8,52.1,208.2
8,138.2,61.0,5.4,46.0,202.4
8,132.7,59.1,5.8,45.1,200.9
8,120.8,54.8,7.0,45.6,204.6
8,120.1,54.5,7.067,61.1,207.3
14,80.6,59.0,0.6,49.7,61.8
14,81.4,59.7,0.733,45.1,42.6
14,81.7,60.1,0.8,45.7,58.6
