id,x_px,y_px,timestamp_s,speed_mph,direction_deg
2,234.7,100.6,0.6,60.8,200.4
2,210.2,91.8,1.0,59.0,200.3
2,205.5,89.8,1.1,62.7,203.1
2,201.0,88.1,1.2,60.1,201.3
2,193.0,85.0,1.4,60.3,203.2
2,185.9,82.1,1.6,66.2,202.7
2,183.1,80.8,1.7,58.9,205.4
7,94.7,94.6,2.3,61.1,60.1
7,98.8,101.9,2.6,64.3,61.3
7,100.7,104.5,2.7,67.1,53.7
7,105.0,110.5,2.9,63.6,50.2
7,109.9,117.3,3.1,60.9,52.6
7,120.1,130.7,3.4,66.0,52.8
7,124.5,135.9,3.5,62.8,50.1
7,129.3,141.9,3.6,63.9,51.4
7,135.1,148.8,3.7,65.0,49.8
7,159.7,175.5,4.0,60.3,46.8
7,219.6,238.1,4.4,58.9,45.3
8,92.1,140.6,5.6,61.7,62.2
8,95.6,147.3,5.7,66.8,62.2
8,99.6,154.4,5.8,62.7,60.9
8,103.9,162.8,5.9,64.9,62.9
8,109.4,172.5,6.0,64.6,60.7
8,116.3,183.6,6.1,63.0,58.0
8,124.3,196.6,6.2,62.6,58.1
8,133.8,211.7,6.3,60.7,57.9
8,145.6,229.8,6.4,59.9,57.1
9,76.7,72.9,3.6,65.7,129.2
9,75.8,75.8,3.9,66.2,111.7
9,75.1,79.8,4.3,66.2,92.0
9,75.0,81.8,4.5,60.2,90.8
9,75.2,84.7,4.7,63.7,76.8
9,75.2,86.0,4.8,62.1,90.8
9,75.5,90.7,5.1,65.8,86.1
9,76.0,96.5,5.4,66.9,82.7
9,76.6,98.5,5.5,65.1,74.6
9,77.2,100.7,5.6,63.0,74.6
9,79.4,108.2,5.9,64.2,77.9
9,80.3,111.2,6.0,65.9,72.8
9,81.7,114.4,6.1,64.1,66.1
9,83.1,118.0,6.2,65.8,69.3
9,84.4,121.9,6.3,65.2,70.5
9,86.5,126.2,6.4,65.8,64.3
9,92.5,137.3,6.6,66.3,61.8
9,103.2,155.7,6.9,62.2,59.9
9,108.0,163.7,7.0,60.6,59.1
9,113.8,173.3,7.1,63.1,59.2
9,120.8,184.4,7.2,62.3,57.9
9,128.9,197.2,7.3,60.6,57.5
9,139.3,212.3,7.4,60.0,55.4
9,151.5,230.4,7.5,59.5,56.2
9,166.9,252.9,7.6,59.6,55.6
14,91.3,89.6,5.4,67.3,74.0
14,92.4,93.1,5.6,64.5,69.5
14,93.4,94.9,5.7,62.1,59.6
14,94.3,96.9,5.8,63.4,66.3
14,98.3,104.2,6.1,63.7,57.2
14,100.0,106.7,6.2,61.5,56.3
14,101.7,109.5,6.3,62.7,58.5
14,103.9,112.6,6.4,63.3,55.6
14,109.4,120.7,6.6,64.6,60.6
14,119.1,133.4,6.9,65.1,56.0
14,124.0,138.8,7.0,60.6,47.1
14,129.2,144.7,7.1,60.6,48.9
14,135.1,151.6,7.2,61.5,49.6
14,141.7,159.3,7.3,60.2,49.0
14,149.8,168.2,7.4,60.9,47.8
14,159.3,178.2,7.5,59.4,46.5
14,170.3,190.0,7.6,59.5,46.9
14,183.5,203.9,7.7,59.3,46.7
15,223.0,103.5,11.3,65.3,202.2
15,215.9,100.9,11.4,58.7,200.2
15,209.2,98.1,11.5,67.4,202.5
15,203.0,95.7,11.6,64.3,201.5
15,197.6,93.5,11.7,62.2,201.9
15,192.6,91.4,11.8,65.4,203.4
23,91.1,93.1,11.6,61.6,73.0
23,91.8,95.0,11.7,65.0,68.1
23,92.4,97.1,11.8,65.4,75.7
23,97.0,104.7,12.1,64.9,57.2
23,100.3,109.6,12.3,61.2,56.8
23,104.5,116.3,12.5,61.1,54.8
23,116.0,133.4,12.9,63.6,52.9
23,120.6,138.7,13.0,60.8,49.3
23,125.4,145.1,13.1,64.3,53.1
23,130.3,151.7,13.2,59.0,53.1
26,81.1,67.3,12.3,59.7,141.4
26,80.2,67.9,12.4,65.2,144.2
26,76.4,72.7,13.1,62.1,120.7
26,74.1,79.8,13.8,60.5,108.9
26,73.4,82.9,14.1,65.6,92.3
26,73.8,87.0,14.4,64.5,84.3
26,73.9,88.5,14.5,64.5,82.7
26,74.2,91.9,14.7,58.9,79.4
26,74.6,93.7,14.8,66.6,77.7
26,75.0,95.6,14.9,66.8,79.0
26,75.6,97.7,15.0,67.4,73.0
26,77.7,105.0,15.3,64.0,76.3
26,78.5,107.5,15.4,62.1,71.3
26,79.5,110.5,15.5,65.4,71.1
26,81.9,117.2,15.7,59.4,71.7
26,87.9,129.4,16.0,59.0,62.3
26,96.5,146.4,16.3,60.8,60.5
26,100.3,153.5,16.4,63.4,61.8
26,104.6,161.3,16.5,60.7,60.8
26,109.9,170.4,16.6,62.6,59.9
26,116.3,180.9,16.7,61.6,58.7
26,123.7,193.3,16.8,62.2,59.3
26,132.8,207.5,16.9,59.4,57.1
26,144.2,225.0,17.0,61.0,57.0
26,158.2,246.5,17.1,60.5,56.9
28,222.9,102.6,12.9,66.4,201.8
28,198.2,93.0,13.3,64.1,199.3
28,194.6,90.9,13.4,63.1,210.5
28,182.0,85.9,13.7,59.6,205.0
50,98.3,114.6,24.7,63.2,66.8
50,112.4,138.9,25.2,67.7,58.1
50,133.6,169.3,25.6,62.7,54.6
50,160.6,207.7,25.9,59.1,54.1
50,173.5,225.7,26.0,61.1,54.4
50,189.4,247.2,26.1,59.2,53.5
55,87.5,81.6,32.2,66.6,81.1
55,88.7,84.1,32.4,60.9,60.6
55,89.4,87.1,32.6,63.5,74.7
55,90.4,90.5,32.8,66.4,75.7
55,92.5,96.4,33.1,65.2,65.1
55,95.2,101.5,33.3,65.4,61.9
55,96.2,103.8,33.4,59.2,67.1
55,97.6,106.5,33.5,65.6,62.5
55,99.5,109.4,33.6,66.1,57.5
55,104.3,116.4,33.8,64.4,52.4
55,109.8,124.8,34.0,66.3,55.1
55,118.1,135.6,34.2,59.5,51.4
55,122.7,141.3,34.3,62.3,50.8
55,128.0,148.2,34.4,65.9,52.5
55,134.5,156.1,34.5,66.0,50.7
55,141.9,164.9,34.6,63.3,49.8
55,174.0,201.3,34.9,59.9,48.5
55,212.5,244.7,35.1,64.7,48.2
67,110.3,123.6,41.5,60.0,54.2
67,122.1,139.9,41.8,59.2,54.4
67,132.6,152.6,42.0,60.4,50.7
67,139.4,160.5,42.1,61.0,49.1
67,156.3,179.9,42.3,62.9,50.1
67,166.9,192.4,42.4,61.5,49.7
67,179.6,207.2,42.5,60.8,49.3
67,219.0,251.2,42.7,61.4,47.9
68,256.1,124.0,41.4,62.5,203.8
68,237.3,115.5,41.6,62.0,205.4
68,202.3,99.8,42.1,60.0,204.3
68,197.0,97.4,42.2,59.6,204.2
68,189.1,92.8,42.4,64.1,210.2
69,91.3,68.9,41.6,62.9,120.8
69,90.8,70.4,41.8,65.6,102.7
69,90.4,71.1,41.9,60.2,118.2
